MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
17,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
18,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
19,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
20,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
21,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
22,ward.D2,delta,0.8100208768267223,0.7722631632416034,0.75,0.9230769230769231,0.8394262662695294,1,Anderson,Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Folkes,Stukeley
23,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
24,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
25,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
26,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
27,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
28,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
29,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
30,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
31,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
32,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
33,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
6,single,delta,0.23492673552726404,0.2878165251804949,0.75,0.6153846153846154,0.47235536146327245,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Folkes,Stukeley
7,single,delta,0.4535190968051886,0.49190798277468456,0.75,0.7252747252747253,0.6235632554656042,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged,Folkes,Folkes,Stukeley
8,single,delta,0.4535190968051886,0.49190798277468456,0.75,0.7252747252747253,0.6235632554656042,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged,Folkes,Folkes,Stukeley
9,single,delta,0.4535190968051886,0.49190798277468456,0.75,0.7252747252747253,0.6235632554656042,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged,Folkes,Folkes,Stukeley
