MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
135,ward.D,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
140,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
145,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
150,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
155,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
160,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
165,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
170,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
175,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
180,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
185,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
190,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
195,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
200,ward.D,manhattan,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
40,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
45,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
50,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
55,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
60,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
65,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
70,ward.D2,manhattan,0.543935850317407,0.594937811349749,0.5,0.835164835164835,0.721224586707665,2,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Desaguliers,Folkes_2 Stukeley_ 1 Stukeley_ 2
75,ward.D2,manhattan,0.498216023353876,0.57391156788626,0.75,0.813186813186813,0.704974866524179,1,Anderson,Desaguliers,Desaguliers_3 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Desaguliers
80,ward.D2,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
85,ward.D2,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
90,ward.D2,manhattan,0.629579375848033,0.707603552831087,0.75,0.868131868131868,0.798198685911048,1,Anderson,Desaguliers,Desaguliers,Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2
